IP地址,端口号,TLS,数据中心,源IP位置,地区,城市,地区(中文),国家,城市(中文),国旗,网络延迟,出站IP,IP类型,访问协议,TLS版本,SNI,HTTP版本,WARP,Gateway,RBI,密钥交换,时间戳
3.33.157.34,443,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,50 ms,52.41.2.155,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365581
18.183.105.56,443,TRUE,NRT,JP,Asia Pacific,Tokyo,亚洲,日本,东京,????,50 ms,2406:da14:1650:df00:53af:6fb7:907b:b9d2,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365597
54.250.226.15,443,TRUE,NRT,JP,Asia Pacific,Tokyo,亚洲,日本,东京,????,50 ms,2406:da14:1a22:d900:cb47:41eb:9e7c:dfea,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365613
52.197.217.169,443,TRUE,NRT,JP,Asia Pacific,Tokyo,亚洲,日本,东京,????,50 ms,52.197.217.169,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365608
54.248.72.189,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,亚洲,日本,东京,????,51 ms,2406:da14:1e23:9400:56a1:4df9:8e03:8352,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777368062
52.194.7.110,443,TRUE,NRT,JP,Asia Pacific,Tokyo,亚洲,日本,东京,????,59 ms,52.194.7.110,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365617
43.200.87.5,443,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,63 ms,2406:da12:faf:7b00:689e:fec4:89ba:1a38,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365637
18.141.102.218,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,71 ms,2406:da18:6c6:b100:a08f:3ed7:4d9:3b36,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365594
76.223.77.48,443,TRUE,DUB,IE,Europe,Dublin,欧洲,爱尔兰,都柏林,????,71 ms,18.201.171.239,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365606
35.74.223.252,443,TRUE,NRT,JP,Asia Pacific,Tokyo,亚洲,日本,东京,????,72 ms,35.74.223.252,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365671
18.138.70.109,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,73 ms,2406:da18:a37:6430:2665:a27e:2bf2:de35,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365594
54.151.249.183,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,73 ms,54.151.249.183,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365644
54.255.210.30,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,74 ms,2406:da18:889:9700:6d0f:d7e4:1b73:b994,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367207
13.229.65.190,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,74 ms,2406:da18:4d6:2200:bf6d:8e35:d66e:3ec9,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367198
52.76.97.123,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,74 ms,2406:da18:1979:5f00:9793:b9af:3f31:359,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367183
18.142.46.41,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,74 ms,18.142.46.41,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367571
54.254.75.107,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,74 ms,2406:da18:1c75:8400:8aa3:9d92:faa:43d9,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367186
52.76.194.79,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,74 ms,52.76.194.79,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365606
13.212.173.157,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,75 ms,2406:da18:b2b:50a6:ad74:64a5:f21e:e240,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365619
54.151.146.21,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,75 ms,2406:da18:c91:6600:713b:6b1b:d44d:b0c5,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365610
18.139.162.187,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,76 ms,18.139.162.187,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367606
52.220.111.120,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,76 ms,2406:da18:1bc3:9e00:957b:ad4a:37a5:de67,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367184
18.143.95.22,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,76 ms,52.76.194.79,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367600
54.151.131.18,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,77 ms,2406:da18:580:a901:82df:a3d:1bea:21f6,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365610
47.129.204.216,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,78 ms,2406:da18:b2b:5023:d87a:a5b6:6a87:534f,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365633
43.212.202.45,443,TRUE,TPE,TW,Asia Pacific,Taipei,亚洲,台湾,台北,????,79 ms,43.212.202.45,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365617
13.212.57.14,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,79 ms,2406:da18:1e6f:f600:8edb:a4b5:dce2:5d25,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367175
43.213.148.173,443,TRUE,TPE,TW,Asia Pacific,Taipei,亚洲,台湾,台北,????,79 ms,43.212.202.45,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365649
13.215.203.115,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,80 ms,2406:da18:1f0:2400:a062:bd83:e90b:4eca,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365591
54.151.227.203,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,80 ms,2406:da18:78e:b100:2f6f:57f9:af60:b101,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367230
52.221.156.212,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,80 ms,52.221.156.212,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365609
13.212.52.32,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,81 ms,2a14:7dc0:101:107a::bed3,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365710
18.136.194.60,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,82 ms,2406:da18:642:e100:35d5:3a91:2d6:9249,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365621
13.250.131.37,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,83 ms,13.250.131.37,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365657
18.143.76.130,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,????,84 ms,2406:da18:797:cb00:e2e0:f26a:24fd:936,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365619
